"ShareId","Identity","Rights","AccessControlType","Source"
"share-WINSERVER-SSEnt0008","LAB\SS-ENT-0008-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0009","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0009","LAB\SS-ENT-0009-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0010","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0010","LAB\SS-ENT-0010-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0011","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0011","LAB\SS-ENT-0011-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0012","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0012","LAB\SS-ENT-0012-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0013","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0013","LAB\SS-ENT-0013-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0014","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0014","LAB\SS-ENT-0014-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0015","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0015","LAB\SS-ENT-0015-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0016","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0016","LAB\SS-ENT-0016-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0017","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0017","LAB\SS-ENT-0017-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0018","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0018","LAB\SS-ENT-0018-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0019","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0019","LAB\SS-ENT-0019-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0020","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0020","LAB\SS-ENT-0020-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0021","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0021","LAB\SS-ENT-0021-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0022","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0022","LAB\SS-ENT-0022-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0023","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0023","LAB\SS-ENT-0023-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0024","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0024","LAB\SS-ENT-0024-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0025","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0025","LAB\SS-ENT-0025-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0026","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0026","LAB\SS-ENT-0026-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0027","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0027","LAB\SS-ENT-0027-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0028","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0028","LAB\SS-ENT-0028-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0029","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0029","LAB\SS-ENT-0029-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0030","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0030","LAB\SS-ENT-0030-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0031","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0031","LAB\SS-ENT-0031-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0032","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0032","LAB\SS-ENT-0032-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0033","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0033","LAB\SS-ENT-0033-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0034","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0034","LAB\SS-ENT-0034-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0035","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0035","LAB\SS-ENT-0035-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0036","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0036","LAB\SS-ENT-0036-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0037","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0037","LAB\SS-ENT-0037-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0038","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0038","LAB\SS-ENT-0038-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0039","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0039","LAB\SS-ENT-0039-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0040","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0040","LAB\SS-ENT-0040-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0041","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0041","LAB\SS-ENT-0041-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0042","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0042","LAB\SS-ENT-0042-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0043","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0043","LAB\SS-ENT-0043-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0044","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0044","LAB\SS-ENT-0044-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0045","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0045","LAB\SS-ENT-0045-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0046","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0046","LAB\SS-ENT-0046-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0047","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0047","LAB\SS-ENT-0047-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0048","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0048","LAB\SS-ENT-0048-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0049","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0049","LAB\SS-ENT-0049-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0050","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0050","LAB\SS-ENT-0050-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0051","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0051","LAB\SS-ENT-0051-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0052","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0052","LAB\SS-ENT-0052-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0053","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0053","LAB\SS-ENT-0053-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0054","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0054","LAB\SS-ENT-0054-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0055","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0055","LAB\SS-ENT-0055-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0056","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0056","LAB\SS-ENT-0056-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0057","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0057","LAB\SS-ENT-0057-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0058","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0058","LAB\SS-ENT-0058-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0059","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0059","LAB\SS-ENT-0059-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0060","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0060","LAB\SS-ENT-0060-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0061","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0061","LAB\SS-ENT-0061-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0062","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0062","LAB\SS-ENT-0062-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0063","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0063","LAB\SS-ENT-0063-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0064","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0064","LAB\SS-ENT-0064-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0065","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0065","LAB\SS-ENT-0065-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0066","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0066","LAB\SS-ENT-0066-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0067","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0067","LAB\SS-ENT-0067-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0068","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0068","LAB\SS-ENT-0068-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0069","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0069","LAB\SS-ENT-0069-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0070","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0070","LAB\SS-ENT-0070-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0071","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0071","LAB\SS-ENT-0071-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0072","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0072","LAB\SS-ENT-0072-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0073","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0073","LAB\SS-ENT-0073-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0074","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0074","LAB\SS-ENT-0074-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0075","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0075","LAB\SS-ENT-0075-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0076","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0076","LAB\SS-ENT-0076-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0077","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0077","LAB\SS-ENT-0077-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0078","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0078","LAB\SS-ENT-0078-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0079","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0079","LAB\SS-ENT-0079-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0080","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0080","LAB\SS-ENT-0080-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0081","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0081","LAB\SS-ENT-0081-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0082","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0082","LAB\SS-ENT-0082-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0083","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0083","LAB\SS-ENT-0083-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0084","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0084","LAB\SS-ENT-0084-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0085","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0085","LAB\SS-ENT-0085-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0086","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0086","LAB\SS-ENT-0086-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0087","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0087","LAB\SS-ENT-0087-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0088","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0088","LAB\SS-ENT-0088-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0089","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0089","LAB\SS-ENT-0089-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0090","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0090","LAB\SS-ENT-0090-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0091","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0091","LAB\SS-ENT-0091-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0092","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0092","LAB\SS-ENT-0092-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0093","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0093","LAB\SS-ENT-0093-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0094","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0094","LAB\SS-ENT-0094-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0095","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0095","LAB\SS-ENT-0095-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0096","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0096","LAB\SS-ENT-0096-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0097","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0097","LAB\SS-ENT-0097-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0098","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0098","LAB\SS-ENT-0098-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0099","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0099","LAB\SS-ENT-0099-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0100","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0100","LAB\SS-ENT-0100-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0101","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0101","LAB\SS-ENT-0101-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0102","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0102","LAB\SS-ENT-0102-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0103","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0103","LAB\SS-ENT-0103-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0104","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0104","LAB\SS-ENT-0104-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0105","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0105","LAB\SS-ENT-0105-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0106","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0106","LAB\SS-ENT-0106-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0107","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0107","LAB\SS-ENT-0107-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0108","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0108","LAB\SS-ENT-0108-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0109","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0109","LAB\SS-ENT-0109-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0110","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0110","LAB\SS-ENT-0110-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0111","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0111","LAB\SS-ENT-0111-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0112","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0112","LAB\SS-ENT-0112-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0113","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0113","LAB\SS-ENT-0113-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0114","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0114","LAB\SS-ENT-0114-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0115","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0115","LAB\SS-ENT-0115-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0116","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0116","LAB\SS-ENT-0116-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0117","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0117","LAB\SS-ENT-0117-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0118","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0118","LAB\SS-ENT-0118-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0119","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0119","LAB\SS-ENT-0119-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0120","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0120","LAB\SS-ENT-0120-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0121","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0121","LAB\SS-ENT-0121-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0122","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0122","LAB\SS-ENT-0122-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0123","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0123","LAB\SS-ENT-0123-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0124","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0124","LAB\SS-ENT-0124-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0125","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0125","LAB\SS-ENT-0125-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0126","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0126","LAB\SS-ENT-0126-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0127","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0127","LAB\SS-ENT-0127-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0128","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0128","LAB\SS-ENT-0128-Readers","Read","Allow","Get-SmbShareAccess"
"share-WINSERVER-SSEnt0129","BUILTIN\Administrators","Full","Allow","Get-SmbShareAccess"
