"Group","DisplayName","ObjectClass","ObsPath","ManagerLevel1","ShareAssignments","NtfsAssignments","ExpandedMembers","MaxDepth","HasCycle","IsTruncated","Rights","ShareId","ShareIds","Sources","FullPath","ExamplePath"
"LAB\SS-ENT-0008-Editors","SS-ENT-0008-Editors","group","CORP.ENT.SHARE0008.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0008","share-WINSERVER-SSEnt0008","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0008\Division09\Region09\Program09\Project09\Workstream09","C:\ShareSurferEnterpriseLab\Enterprise\Share0008\Division09\Region09\Program09\Project09\Workstream09"
"LAB\SS-ENT-0009-Editors","SS-ENT-0009-Editors","group","CORP.ENT.SHARE0009.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0009","share-WINSERVER-SSEnt0009","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0009\Division10\Region10\Program10\Project10\Workstream10","C:\ShareSurferEnterpriseLab\Enterprise\Share0009\Division10\Region10\Program10\Project10\Workstream10"
"LAB\SS-ENT-0010-Editors","SS-ENT-0010-Editors","group","CORP.ENT.SHARE0010.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0010","share-WINSERVER-SSEnt0010","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0010\Division11\Region11\Program11\Project11\Workstream11","C:\ShareSurferEnterpriseLab\Enterprise\Share0010\Division11\Region11\Program11\Project11\Workstream11"
"LAB\SS-ENT-0011-Editors","SS-ENT-0011-Editors","group","CORP.ENT.SHARE0011.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0011","share-WINSERVER-SSEnt0011","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0011\Division12\Region12\Program12\Project12\Workstream12","C:\ShareSurferEnterpriseLab\Enterprise\Share0011\Division12\Region12\Program12\Project12\Workstream12"
"LAB\SS-ENT-0012-Editors","SS-ENT-0012-Editors","group","CORP.ENT.SHARE0012.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0012","share-WINSERVER-SSEnt0012","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0012\Division01\Region13\Program13\Project13\Workstream13","C:\ShareSurferEnterpriseLab\Enterprise\Share0012\Division01\Region13\Program13\Project13\Workstream13"
"LAB\SS-ENT-0013-Editors","SS-ENT-0013-Editors","group","CORP.ENT.SHARE0013.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0013","share-WINSERVER-SSEnt0013","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0013\Division02\Region14\Program14\Project14\Workstream14","C:\ShareSurferEnterpriseLab\Enterprise\Share0013\Division02\Region14\Program14\Project14\Workstream14"
"LAB\SS-ENT-0014-Editors","SS-ENT-0014-Editors","group","CORP.ENT.SHARE0014.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0014","share-WINSERVER-SSEnt0014","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0014\Division03\Region15\Program15\Project15\Workstream15","C:\ShareSurferEnterpriseLab\Enterprise\Share0014\Division03\Region15\Program15\Project15\Workstream15"
"LAB\SS-ENT-0015-Editors","SS-ENT-0015-Editors","group","CORP.ENT.SHARE0015.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0015","share-WINSERVER-SSEnt0015","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0015\Division04\Region16\Program16\Project16\Workstream16","C:\ShareSurferEnterpriseLab\Enterprise\Share0015\Division04\Region16\Program16\Project16\Workstream16"
"LAB\SS-ENT-0016-Editors","SS-ENT-0016-Editors","group","CORP.ENT.SHARE0016.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0016","share-WINSERVER-SSEnt0016","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0016\Division05\Region17\Program17\Project17\Workstream17","C:\ShareSurferEnterpriseLab\Enterprise\Share0016\Division05\Region17\Program17\Project17\Workstream17"
"LAB\SS-ENT-0017-Editors","SS-ENT-0017-Editors","group","CORP.ENT.SHARE0017.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0017","share-WINSERVER-SSEnt0017","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0017\Division06\Region18\Program18\Project18\Workstream18","C:\ShareSurferEnterpriseLab\Enterprise\Share0017\Division06\Region18\Program18\Project18\Workstream18"
"LAB\SS-ENT-0018-Editors","SS-ENT-0018-Editors","group","CORP.ENT.SHARE0018.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0018","share-WINSERVER-SSEnt0018","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0018\Division07\Region01\Program19\Project19\Workstream19","C:\ShareSurferEnterpriseLab\Enterprise\Share0018\Division07\Region01\Program19\Project19\Workstream19"
"LAB\SS-ENT-0019-Editors","SS-ENT-0019-Editors","group","CORP.ENT.SHARE0019.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0019","share-WINSERVER-SSEnt0019","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0019\Division08\Region02\Program20\Project20\Workstream20","C:\ShareSurferEnterpriseLab\Enterprise\Share0019\Division08\Region02\Program20\Project20\Workstream20"
"LAB\SS-ENT-0020-Editors","SS-ENT-0020-Editors","group","CORP.ENT.SHARE0020.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0020","share-WINSERVER-SSEnt0020","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0020\Division09\Region03\Program21\Project21\Workstream21","C:\ShareSurferEnterpriseLab\Enterprise\Share0020\Division09\Region03\Program21\Project21\Workstream21"
"LAB\SS-ENT-0021-Editors","SS-ENT-0021-Editors","group","CORP.ENT.SHARE0021.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0021","share-WINSERVER-SSEnt0021","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0021\Division10\Region04\Program22\Project22\Workstream22","C:\ShareSurferEnterpriseLab\Enterprise\Share0021\Division10\Region04\Program22\Project22\Workstream22"
"LAB\SS-ENT-0022-Editors","SS-ENT-0022-Editors","group","CORP.ENT.SHARE0022.MODIFY","","0","18","3","2","False","False","Modify, Synchronize","share-WINSERVER-SSEnt0022","share-WINSERVER-SSEnt0022","NTFS","C:\ShareSurferEnterpriseLab\Enterprise\Share0022\Division11\Region05\Program23\Project23\Workstream23","C:\ShareSurferEnterpriseLab\Enterprise\Share0022\Division11\Region05\Program23\Project23\Workstream23"
