"FindingId","FindingType","Severity","ShareId","ItemId","FullPath","Identity","ObservedValue","PolicyValue","Message"
"cc5a7c93ee5e44ad8a511c9b5dfee21e","DeepExplicitAce","High","share-WINSERVER-SSEnt0001","c91fc99b772a4aea9818bb6502c5477e","C:\ShareSurferEnterpriseLab\Enterprise\Share0001\Division02\Region02\Program02\Project02\Workstream02","LAB\SS-ENT-0001-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"f6309839c3b442a7b5a7e8dc197251ec","DeepExplicitAce","High","share-WINSERVER-SSEnt0002","afb926626b474aa4bd88b6baf70a2078","C:\ShareSurferEnterpriseLab\Enterprise\Share0002\Division03\Region03\Program03\Project03\Workstream03","LAB\SS-ENT-0002-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"6d42076ff40a4c7586db81f13dbdb034","DeepExplicitAce","High","share-WINSERVER-SSEnt0003","23ddb14266c84ce8b5fb3b3151d2631c","C:\ShareSurferEnterpriseLab\Enterprise\Share0003\Division04\Region04\Program04\Project04\Workstream04","LAB\SS-ENT-0003-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"65652e5883d542748bc78e0f716e5178","DeepExplicitAce","High","share-WINSERVER-SSEnt0004","caae83404663452881667182397960da","C:\ShareSurferEnterpriseLab\Enterprise\Share0004\Division05\Region05\Program05\Project05\Workstream05","LAB\SS-ENT-0004-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"214a5b40f8734fe48f4ed86742ba9531","DeepExplicitAce","High","share-WINSERVER-SSEnt0005","a1aac1702508493d82850adfc701f9f5","C:\ShareSurferEnterpriseLab\Enterprise\Share0005\Division06\Region06\Program06\Project06\Workstream06","LAB\SS-ENT-0005-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"4128a5ec1e7d462eb4aae3721f59c7bb","DeepExplicitAce","High","share-WINSERVER-SSEnt0006","85e6e125d8d14dfea1b6be9771a702c3","C:\ShareSurferEnterpriseLab\Enterprise\Share0006\Division07\Region07\Program07\Project07\Workstream07","LAB\SS-ENT-0006-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"47306503c67345e18aeb8319db38084e","DeepExplicitAce","High","share-WINSERVER-SSEnt0007","0ec71a5ac1654c28bdf63d10f3154779","C:\ShareSurferEnterpriseLab\Enterprise\Share0007\Division08\Region08\Program08\Project08\Workstream08","LAB\SS-ENT-0007-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"c9bdb02f782f41e080ae39dae741e3dc","DeepExplicitAce","High","share-WINSERVER-SSEnt0008","6e8658d17404431f964d01f96aaa396c","C:\ShareSurferEnterpriseLab\Enterprise\Share0008\Division09\Region09\Program09\Project09\Workstream09","LAB\SS-ENT-0008-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"bd4f655b3b274994840927bb27a40413","DeepExplicitAce","High","share-WINSERVER-SSEnt0009","9bf5e64ef9b44cb59dd969c38677c008","C:\ShareSurferEnterpriseLab\Enterprise\Share0009\Division10\Region10\Program10\Project10\Workstream10","LAB\SS-ENT-0009-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"2677d63b51894351bb0d803e26161008","DeepExplicitAce","High","share-WINSERVER-SSEnt0010","1b7b28e964884626be1b63488b7d74fc","C:\ShareSurferEnterpriseLab\Enterprise\Share0010\Division11\Region11\Program11\Project11\Workstream11","LAB\SS-ENT-0010-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"fe636c0dfd1042369e2acaa6cc0ea65e","DeepExplicitAce","High","share-WINSERVER-SSEnt0011","ef21dc309a0c42a7be04ddd3d5b783c3","C:\ShareSurferEnterpriseLab\Enterprise\Share0011\Division12\Region12\Program12\Project12\Workstream12","LAB\SS-ENT-0011-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"5d4d9e80a1094f64b1800cf39141a59a","DeepExplicitAce","High","share-WINSERVER-SSEnt0012","320026e8717d42228ef7a15da9a54fdd","C:\ShareSurferEnterpriseLab\Enterprise\Share0012\Division01\Region13\Program13\Project13\Workstream13","LAB\SS-ENT-0012-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"d8603a4cc43a48c185e8a4a58ea05201","DeepExplicitAce","High","share-WINSERVER-SSEnt0013","f626fea0e5a144f1af007c2004aa9eaf","C:\ShareSurferEnterpriseLab\Enterprise\Share0013\Division02\Region14\Program14\Project14\Workstream14","LAB\SS-ENT-0013-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"1f0c86306f1d41b6b468fa46b4701ca4","DeepExplicitAce","High","share-WINSERVER-SSEnt0014","f1b0b1004f9f4f759e0c2a05b415e187","C:\ShareSurferEnterpriseLab\Enterprise\Share0014\Division03\Region15\Program15\Project15\Workstream15","LAB\SS-ENT-0014-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"a432710d46be4202822ccb8dbdece179","DeepExplicitAce","High","share-WINSERVER-SSEnt0015","99a40e7cf4de4362a10318fcaf1dc7d8","C:\ShareSurferEnterpriseLab\Enterprise\Share0015\Division04\Region16\Program16\Project16\Workstream16","LAB\SS-ENT-0015-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"0ae11e870b6b441c86d0a12f85cf73b7","DeepExplicitAce","High","share-WINSERVER-SSEnt0016","620dd9e37db34322b5a080f36a612dec","C:\ShareSurferEnterpriseLab\Enterprise\Share0016\Division05\Region17\Program17\Project17\Workstream17","LAB\SS-ENT-0016-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"d0612852623b475bb7ea297b856741c8","DeepExplicitAce","High","share-WINSERVER-SSEnt0017","bc5b0556db7645f2b754d3cbaf17363c","C:\ShareSurferEnterpriseLab\Enterprise\Share0017\Division06\Region18\Program18\Project18\Workstream18","LAB\SS-ENT-0017-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"9a3677c1f7e94df98877de4d236f8986","DeepExplicitAce","High","share-WINSERVER-SSEnt0018","fb36d192133d4e03bce9722975a0530c","C:\ShareSurferEnterpriseLab\Enterprise\Share0018\Division07\Region01\Program19\Project19\Workstream19","LAB\SS-ENT-0018-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"fbe2772a1141409c9c414b720c2ff69d","DeepExplicitAce","High","share-WINSERVER-SSEnt0019","701de32161e144079d3bab35e18be8a9","C:\ShareSurferEnterpriseLab\Enterprise\Share0019\Division08\Region02\Program20\Project20\Workstream20","LAB\SS-ENT-0019-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"e2837923f85e4eb9a69b4c92a6583a2d","DeepExplicitAce","High","share-WINSERVER-SSEnt0020","b5dd10306c464e7fb97a2db1c236076c","C:\ShareSurferEnterpriseLab\Enterprise\Share0020\Division09\Region03\Program21\Project21\Workstream21","LAB\SS-ENT-0020-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"5544327a712e4214bc4f7ba7b23e1192","DeepExplicitAce","High","share-WINSERVER-SSEnt0021","de913113db0041b9820f46692f541e16","C:\ShareSurferEnterpriseLab\Enterprise\Share0021\Division10\Region04\Program22\Project22\Workstream22","LAB\SS-ENT-0021-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"87f4a05473814d83933650a6e4bdbf38","DeepExplicitAce","High","share-WINSERVER-SSEnt0022","56b08b2c961c46c2b601594093246ba3","C:\ShareSurferEnterpriseLab\Enterprise\Share0022\Division11\Region05\Program23\Project23\Workstream23","LAB\SS-ENT-0022-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"b7625d5d3a8a4c59801e4e7492baf798","DeepExplicitAce","High","share-WINSERVER-SSEnt0023","841e554b097146b8aa61cf21ba20c82e","C:\ShareSurferEnterpriseLab\Enterprise\Share0023\Division12\Region06\Program24\Project24\Workstream24","LAB\SS-ENT-0023-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"809c0e45248b46be83ac66937d8175db","DeepExplicitAce","High","share-WINSERVER-SSEnt0024","99d8026e625c437b89adbf7a05526b09","C:\ShareSurferEnterpriseLab\Enterprise\Share0024\Division01\Region07\Program25\Project25\Workstream25","LAB\SS-ENT-0024-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"7eb12f401b414b00a95d452ce6093d8c","DeepExplicitAce","High","share-WINSERVER-SSEnt0025","5d517d1b56264a87b6d206ba61b34f1b","C:\ShareSurferEnterpriseLab\Enterprise\Share0025\Division02\Region08\Program26\Project26\Workstream26","LAB\SS-ENT-0025-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"f37297a7aa3846bbb5cacacd32dbc74b","DeepExplicitAce","High","share-WINSERVER-SSEnt0026","9e698de030a046109d481b28426f20e0","C:\ShareSurferEnterpriseLab\Enterprise\Share0026\Division03\Region09\Program27\Project27\Workstream27","LAB\SS-ENT-0026-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"7684a768cd584eeda508158be9f9c1ab","DeepExplicitAce","High","share-WINSERVER-SSEnt0027","bd9b993afd4a4c5887d4ffc392b4e641","C:\ShareSurferEnterpriseLab\Enterprise\Share0027\Division04\Region10\Program28\Project28\Workstream28","LAB\SS-ENT-0027-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"4f59ea7b492f4c358d8608c349e4ac56","DeepExplicitAce","High","share-WINSERVER-SSEnt0028","b3e22f23c0674faa8f3054c2af93f407","C:\ShareSurferEnterpriseLab\Enterprise\Share0028\Division05\Region11\Program29\Project29\Workstream29","LAB\SS-ENT-0028-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"1a2d4e7f00164549bb02ed855eaee6bb","DeepExplicitAce","High","share-WINSERVER-SSEnt0029","701c81aa48a24feeaf4a724d9ceb5a6c","C:\ShareSurferEnterpriseLab\Enterprise\Share0029\Division06\Region12\Program30\Project30\Workstream30","LAB\SS-ENT-0029-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"d72b0bdb04474c8c83e95ae4f405ceb2","DeepExplicitAce","High","share-WINSERVER-SSEnt0030","eb50ffafbe054d9b8faba1af04fe3513","C:\ShareSurferEnterpriseLab\Enterprise\Share0030\Division07\Region13\Program01\Project31\Workstream31","LAB\SS-ENT-0030-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"0fe54db443f945a6a0c0f2c149e5ca04","DeepExplicitAce","High","share-WINSERVER-SSEnt0031","97075973541446ab8f8d394112bd3907","C:\ShareSurferEnterpriseLab\Enterprise\Share0031\Division08\Region14\Program02\Project32\Workstream32","LAB\SS-ENT-0031-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"2939dbce7e5949119919052e531fd148","DeepExplicitAce","High","share-WINSERVER-SSEnt0032","d028448233304a7086fc4e9ccdcf5183","C:\ShareSurferEnterpriseLab\Enterprise\Share0032\Division09\Region15\Program03\Project33\Workstream33","LAB\SS-ENT-0032-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"dbec9e7fe7064048b01d63032dbb4884","DeepExplicitAce","High","share-WINSERVER-SSEnt0033","c4faf4914bb24c15b75a6299702fa104","C:\ShareSurferEnterpriseLab\Enterprise\Share0033\Division10\Region16\Program04\Project34\Workstream34","LAB\SS-ENT-0033-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"25899ffc6b6f4364a8e7c8b875919344","DeepExplicitAce","High","share-WINSERVER-SSEnt0034","407101e9f85e425db10e5fb08db1ad8f","C:\ShareSurferEnterpriseLab\Enterprise\Share0034\Division11\Region17\Program05\Project35\Workstream35","LAB\SS-ENT-0034-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"363f9333d4c14cb8bc5a89ed23b0f804","DeepExplicitAce","High","share-WINSERVER-SSEnt0035","e2fad243f466456fbe7980d3448e30a0","C:\ShareSurferEnterpriseLab\Enterprise\Share0035\Division12\Region18\Program06\Project36\Workstream36","LAB\SS-ENT-0035-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"6b2be758336f47d7ac553e005e669728","DeepExplicitAce","High","share-WINSERVER-SSEnt0036","e428533868924979b1c0ee87034667a0","C:\ShareSurferEnterpriseLab\Enterprise\Share0036\Division01\Region01\Program07\Project37\Workstream37","LAB\SS-ENT-0036-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"4b7e752af9fb4e739660187e6b694559","DeepExplicitAce","High","share-WINSERVER-SSEnt0037","a10d24e72d424b4ea37b7ddfc20e0c4c","C:\ShareSurferEnterpriseLab\Enterprise\Share0037\Division02\Region02\Program08\Project38\Workstream38","LAB\SS-ENT-0037-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"01d6e37b32cb49e3bfd73dadd9da1ee9","DeepExplicitAce","High","share-WINSERVER-SSEnt0038","a61cbd1d62b1427f8357b06ed43e12c9","C:\ShareSurferEnterpriseLab\Enterprise\Share0038\Division03\Region03\Program09\Project39\Workstream39","LAB\SS-ENT-0038-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"337524706cd84f23bc0f1267e22a14c7","DeepExplicitAce","High","share-WINSERVER-SSEnt0039","81b2741e316b4ec0b73d29c43ac78127","C:\ShareSurferEnterpriseLab\Enterprise\Share0039\Division04\Region04\Program10\Project40\Workstream40","LAB\SS-ENT-0039-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"47bdffa9647c4850bfaceea699a2cd44","DeepExplicitAce","High","share-WINSERVER-SSEnt0040","d2308336693f4aa8a279c98b24e74e98","C:\ShareSurferEnterpriseLab\Enterprise\Share0040\Division05\Region05\Program11\Project01\Workstream41","LAB\SS-ENT-0040-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"f381bf2bb969430b8993f46341bed128","DeepExplicitAce","High","share-WINSERVER-SSEnt0041","f94bb818cc614995ae7050d04be5d7fe","C:\ShareSurferEnterpriseLab\Enterprise\Share0041\Division06\Region06\Program12\Project02\Workstream42","LAB\SS-ENT-0041-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"3c561d2f66ce46489a0a180ed74da5eb","DeepExplicitAce","High","share-WINSERVER-SSEnt0042","f0cda125ffdd401793cf47c1fa38faf1","C:\ShareSurferEnterpriseLab\Enterprise\Share0042\Division07\Region07\Program13\Project03\Workstream43","LAB\SS-ENT-0042-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"92f245b03c454fdebaff0cf5a6c66fa4","DeepExplicitAce","High","share-WINSERVER-SSEnt0043","f4bc740896614e5abd0a9be6c1bdf25d","C:\ShareSurferEnterpriseLab\Enterprise\Share0043\Division08\Region08\Program14\Project04\Workstream44","LAB\SS-ENT-0043-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"2fe3dc34025e4e09baaf58f2739f5899","DeepExplicitAce","High","share-WINSERVER-SSEnt0044","30091aad114d4b6a9015459af0a262cf","C:\ShareSurferEnterpriseLab\Enterprise\Share0044\Division09\Region09\Program15\Project05\Workstream45","LAB\SS-ENT-0044-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"1143f4f2fc0847d6a16fd636fce2f5f4","DeepExplicitAce","High","share-WINSERVER-SSEnt0045","22fa0f0039724aa282f6876e3b521d96","C:\ShareSurferEnterpriseLab\Enterprise\Share0045\Division10\Region10\Program16\Project06\Workstream46","LAB\SS-ENT-0045-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"cdbcbbc36a3f46dcbc46f3d26a2f82fb","DeepExplicitAce","High","share-WINSERVER-SSEnt0046","a2085e272bab41508a54da548c6389f0","C:\ShareSurferEnterpriseLab\Enterprise\Share0046\Division11\Region11\Program17\Project07\Workstream47","LAB\SS-ENT-0046-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"d6606398da3349e5844e46fa5a7d1bb3","DeepExplicitAce","High","share-WINSERVER-SSEnt0047","a6439667b58c4f749c698bfd6b3327c9","C:\ShareSurferEnterpriseLab\Enterprise\Share0047\Division12\Region12\Program18\Project08\Workstream48","LAB\SS-ENT-0047-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"6d1541bb293046a7acb8c2d4b7caf493","DeepExplicitAce","High","share-WINSERVER-SSEnt0048","9ba365412d2f4ee789f22582c1b46834","C:\ShareSurferEnterpriseLab\Enterprise\Share0048\Division01\Region13\Program19\Project09\Workstream49","LAB\SS-ENT-0048-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"cc768b821339485db5147c403c216653","DeepExplicitAce","High","share-WINSERVER-SSEnt0049","d1da5d6df7ec4ae09ea9f037d9f4e259","C:\ShareSurferEnterpriseLab\Enterprise\Share0049\Division02\Region14\Program20\Project10\Workstream50","LAB\SS-ENT-0049-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"5e1d6470cecf48bfa99f8a31f99236fd","DeepExplicitAce","High","share-WINSERVER-SSEnt0050","4ba6ee88eeec4f83bc964dd02085631a","C:\ShareSurferEnterpriseLab\Enterprise\Share0050\Division03\Region15\Program21\Project11\Workstream01","LAB\SS-ENT-0050-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"775e8fd8383d4bea8154c05456d912fe","DeepExplicitAce","High","share-WINSERVER-SSEnt0051","5a9348f81b494a938f70d4ba2acb0aca","C:\ShareSurferEnterpriseLab\Enterprise\Share0051\Division04\Region16\Program22\Project12\Workstream02","LAB\SS-ENT-0051-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"432a7edb761342b6a442648ef91b6c65","DeepExplicitAce","High","share-WINSERVER-SSEnt0052","07f2c7cccb0445609b7b2f089af7199f","C:\ShareSurferEnterpriseLab\Enterprise\Share0052\Division05\Region17\Program23\Project13\Workstream03","LAB\SS-ENT-0052-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"c4b956d8a29245b5acc9cebb6694adcc","DeepExplicitAce","High","share-WINSERVER-SSEnt0053","4c84e7dceb4b4e5880b2e6ea0f896d7f","C:\ShareSurferEnterpriseLab\Enterprise\Share0053\Division06\Region18\Program24\Project14\Workstream04","LAB\SS-ENT-0053-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"87157fc8f48c4727bf20c47be136b096","DeepExplicitAce","High","share-WINSERVER-SSEnt0054","06871e3434674339a8d68ac383d0fdfe","C:\ShareSurferEnterpriseLab\Enterprise\Share0054\Division07\Region01\Program25\Project15\Workstream05","LAB\SS-ENT-0054-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"b76e52b64c684facb85c022ab82ef925","DeepExplicitAce","High","share-WINSERVER-SSEnt0055","44fedd5d3d3946f5a3549b6d3dcac5de","C:\ShareSurferEnterpriseLab\Enterprise\Share0055\Division08\Region02\Program26\Project16\Workstream06","LAB\SS-ENT-0055-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"e16b1f52e9bc4848ac320e198eeefc52","DeepExplicitAce","High","share-WINSERVER-SSEnt0056","096d3121fc9a4ca3b19f0bbedfc203a4","C:\ShareSurferEnterpriseLab\Enterprise\Share0056\Division09\Region03\Program27\Project17\Workstream07","LAB\SS-ENT-0056-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"d54797399bd3472ab64e82b64674909f","DeepExplicitAce","High","share-WINSERVER-SSEnt0057","0ee0cdfbb77246e6aed0d0628819e369","C:\ShareSurferEnterpriseLab\Enterprise\Share0057\Division10\Region04\Program28\Project18\Workstream08","LAB\SS-ENT-0057-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"71ad990ec30745cda66e26d9c2d8a9c9","DeepExplicitAce","High","share-WINSERVER-SSEnt0058","33e722f89e1047b7ac9f934cd6ca0558","C:\ShareSurferEnterpriseLab\Enterprise\Share0058\Division11\Region05\Program29\Project19\Workstream09","LAB\SS-ENT-0058-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"9d10aa979b6946ee933a196457dbe81e","DeepExplicitAce","High","share-WINSERVER-SSEnt0059","f87b02ae74ec46d7adbcd5956e8f0b87","C:\ShareSurferEnterpriseLab\Enterprise\Share0059\Division12\Region06\Program30\Project20\Workstream10","LAB\SS-ENT-0059-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"b2cfe94491c04117a2f090f0d4dfe5ed","DeepExplicitAce","High","share-WINSERVER-SSEnt0060","38cdbc47b74d41408fbb25707b5900a6","C:\ShareSurferEnterpriseLab\Enterprise\Share0060\Division01\Region07\Program01\Project21\Workstream11","LAB\SS-ENT-0060-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"ed77982b1d65497caf31ab9524cbee23","DeepExplicitAce","High","share-WINSERVER-SSEnt0061","f0f464bb57904a0fab95bab5ecccfd0d","C:\ShareSurferEnterpriseLab\Enterprise\Share0061\Division02\Region08\Program02\Project22\Workstream12","LAB\SS-ENT-0061-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"775d22ad3f00487db1ed74230e2d42cb","DeepExplicitAce","High","share-WINSERVER-SSEnt0062","a7b443f676724da28a54551a37f08b51","C:\ShareSurferEnterpriseLab\Enterprise\Share0062\Division03\Region09\Program03\Project23\Workstream13","LAB\SS-ENT-0062-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"4bb32530447a437f82d1cee518efab5d","DeepExplicitAce","High","share-WINSERVER-SSEnt0063","fbaf6bb858c34092bfed111c5170b726","C:\ShareSurferEnterpriseLab\Enterprise\Share0063\Division04\Region10\Program04\Project24\Workstream14","LAB\SS-ENT-0063-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"b0f6928b2c854382842c04f909abecad","DeepExplicitAce","High","share-WINSERVER-SSEnt0064","7e362f358c4f4362a45624ffdaea149d","C:\ShareSurferEnterpriseLab\Enterprise\Share0064\Division05\Region11\Program05\Project25\Workstream15","LAB\SS-ENT-0064-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"673df82aecc94feb96bf963686830722","DeepExplicitAce","High","share-WINSERVER-SSEnt0065","18bff38c180a4129a30293d28dc4395b","C:\ShareSurferEnterpriseLab\Enterprise\Share0065\Division06\Region12\Program06\Project26\Workstream16","LAB\SS-ENT-0065-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
"5fa67dd5794d4869940c6ef365a713f9","DeepExplicitAce","High","share-WINSERVER-SSEnt0066","e1384d563d3649958fc4ce0f3f423108","C:\ShareSurferEnterpriseLab\Enterprise\Share0066\Division07\Region13\Program07\Project27\Workstream17","LAB\SS-ENT-0066-Editors","5","2","Explicit permissions were introduced deeper than the configured Azure Files migration review threshold."
