"RelatedAreaId","RelatedDataArea","BusinessUnit","Owner","Pattern","Source","RiskLevel","MigrationReadiness","MatchingShares","MatchingItems","Directories","Files","FindingCount","ConflictCount","ReviewItemCount","PartialShareCount","DirectIdentityCount","DirectGroupCount","ExpandedMemberCount","RelatedBecause","SuggestedNextAction"
"related-area-0166","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0001*","LabPlan","High","Blocked by scan gaps","1","25","16","9","5","137","142","1","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk; partial collection gap","Review collection errors and rerun the scan before final migration planning."
"related-area-0249","Finance / Finance Data Owners","Finance","Finance Data Owners","C:\ShareSurferEnterpriseLab\Finance*","LabPlan","High","Blocked by scan gaps","1","20","10","10","7","96","103","1","6","4","10","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk; partial collection gap","Review collection errors and rerun the scan before final migration planning."
"related-area-0185","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0020*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0184","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0021*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0179","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0022*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0174","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0023*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0173","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0024*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0172","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0025*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0175","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0026*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0178","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0027*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0177","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0028*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0176","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0029*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0156","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0030*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0136","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0031*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0135","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0032*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0134","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0033*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0137","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0034*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0140","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0035*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0139","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0036*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0138","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0037*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0133","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0038*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0128","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0039*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0127","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0040*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0126","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0041*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0129","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0042*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0132","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0043*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0131","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0044*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0130","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0045*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0151","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0046*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0150","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0047*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0149","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0048*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0152","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0049*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0155","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0050*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0154","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0051*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0153","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0052*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0148","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0053*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0143","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0054*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0142","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0055*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0141","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0056*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0144","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0057*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0147","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0058*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0146","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0059*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0145","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0060*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0187","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0061*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0229","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0062*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0228","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0063*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0227","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0064*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0230","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0065*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0233","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0066*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0232","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0067*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0231","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0068*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0226","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0069*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0221","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0070*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0220","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0071*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0219","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0072*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0222","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0073*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0225","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0074*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0224","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0075*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0223","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0076*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0244","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0077*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
"related-area-0243","Enterprise / Enterprise Data Owners","Enterprise","Enterprise Data Owners","C:\ShareSurferEnterpriseLab\Enterprise\Share0078*","LabPlan","High","Review","1","23","14","9","1","130","131","0","6","4","9","same owner mapping; same business unit; matching path pattern; shared permission group; shared review risk","Confirm ownership, review access groups, and clean up findings or conflicts before migration."
