"ShareId","Source","ComputerName","ShareName","UNCPath","LocalPath","Description","PartialData","PartialReason"
"share-WINSERVER-SSEnt0015","Get-SmbShare","WINSERVER","SSEnt0015","\\WINSERVER\SSEnt0015","C:\ShareSurferEnterpriseLab\Enterprise\Share0015","Enterprise-scale complex share 0015","False",""
"share-WINSERVER-SSEnt0016","Get-SmbShare","WINSERVER","SSEnt0016","\\WINSERVER\SSEnt0016","C:\ShareSurferEnterpriseLab\Enterprise\Share0016","Enterprise-scale complex share 0016","False",""
"share-WINSERVER-SSEnt0017","Get-SmbShare","WINSERVER","SSEnt0017","\\WINSERVER\SSEnt0017","C:\ShareSurferEnterpriseLab\Enterprise\Share0017","Enterprise-scale complex share 0017","False",""
"share-WINSERVER-SSEnt0018","Get-SmbShare","WINSERVER","SSEnt0018","\\WINSERVER\SSEnt0018","C:\ShareSurferEnterpriseLab\Enterprise\Share0018","Enterprise-scale complex share 0018","False",""
"share-WINSERVER-SSEnt0019","Get-SmbShare","WINSERVER","SSEnt0019","\\WINSERVER\SSEnt0019","C:\ShareSurferEnterpriseLab\Enterprise\Share0019","Enterprise-scale complex share 0019","False",""
"share-WINSERVER-SSEnt0020","Get-SmbShare","WINSERVER","SSEnt0020","\\WINSERVER\SSEnt0020","C:\ShareSurferEnterpriseLab\Enterprise\Share0020","Enterprise-scale complex share 0020","False",""
"share-WINSERVER-SSEnt0021","Get-SmbShare","WINSERVER","SSEnt0021","\\WINSERVER\SSEnt0021","C:\ShareSurferEnterpriseLab\Enterprise\Share0021","Enterprise-scale complex share 0021","False",""
"share-WINSERVER-SSEnt0022","Get-SmbShare","WINSERVER","SSEnt0022","\\WINSERVER\SSEnt0022","C:\ShareSurferEnterpriseLab\Enterprise\Share0022","Enterprise-scale complex share 0022","False",""
"share-WINSERVER-SSEnt0023","Get-SmbShare","WINSERVER","SSEnt0023","\\WINSERVER\SSEnt0023","C:\ShareSurferEnterpriseLab\Enterprise\Share0023","Enterprise-scale complex share 0023","False",""
"share-WINSERVER-SSEnt0024","Get-SmbShare","WINSERVER","SSEnt0024","\\WINSERVER\SSEnt0024","C:\ShareSurferEnterpriseLab\Enterprise\Share0024","Enterprise-scale complex share 0024","False",""
"share-WINSERVER-SSEnt0025","Get-SmbShare","WINSERVER","SSEnt0025","\\WINSERVER\SSEnt0025","C:\ShareSurferEnterpriseLab\Enterprise\Share0025","Enterprise-scale complex share 0025","False",""
"share-WINSERVER-SSEnt0026","Get-SmbShare","WINSERVER","SSEnt0026","\\WINSERVER\SSEnt0026","C:\ShareSurferEnterpriseLab\Enterprise\Share0026","Enterprise-scale complex share 0026","False",""
"share-WINSERVER-SSEnt0027","Get-SmbShare","WINSERVER","SSEnt0027","\\WINSERVER\SSEnt0027","C:\ShareSurferEnterpriseLab\Enterprise\Share0027","Enterprise-scale complex share 0027","False",""
"share-WINSERVER-SSEnt0028","Get-SmbShare","WINSERVER","SSEnt0028","\\WINSERVER\SSEnt0028","C:\ShareSurferEnterpriseLab\Enterprise\Share0028","Enterprise-scale complex share 0028","False",""
"share-WINSERVER-SSEnt0029","Get-SmbShare","WINSERVER","SSEnt0029","\\WINSERVER\SSEnt0029","C:\ShareSurferEnterpriseLab\Enterprise\Share0029","Enterprise-scale complex share 0029","False",""
"share-WINSERVER-SSEnt0030","Get-SmbShare","WINSERVER","SSEnt0030","\\WINSERVER\SSEnt0030","C:\ShareSurferEnterpriseLab\Enterprise\Share0030","Enterprise-scale complex share 0030","False",""
"share-WINSERVER-SSEnt0031","Get-SmbShare","WINSERVER","SSEnt0031","\\WINSERVER\SSEnt0031","C:\ShareSurferEnterpriseLab\Enterprise\Share0031","Enterprise-scale complex share 0031","False",""
"share-WINSERVER-SSEnt0032","Get-SmbShare","WINSERVER","SSEnt0032","\\WINSERVER\SSEnt0032","C:\ShareSurferEnterpriseLab\Enterprise\Share0032","Enterprise-scale complex share 0032","False",""
"share-WINSERVER-SSEnt0033","Get-SmbShare","WINSERVER","SSEnt0033","\\WINSERVER\SSEnt0033","C:\ShareSurferEnterpriseLab\Enterprise\Share0033","Enterprise-scale complex share 0033","False",""
"share-WINSERVER-SSEnt0034","Get-SmbShare","WINSERVER","SSEnt0034","\\WINSERVER\SSEnt0034","C:\ShareSurferEnterpriseLab\Enterprise\Share0034","Enterprise-scale complex share 0034","False",""
"share-WINSERVER-SSEnt0035","Get-SmbShare","WINSERVER","SSEnt0035","\\WINSERVER\SSEnt0035","C:\ShareSurferEnterpriseLab\Enterprise\Share0035","Enterprise-scale complex share 0035","False",""
"share-WINSERVER-SSEnt0036","Get-SmbShare","WINSERVER","SSEnt0036","\\WINSERVER\SSEnt0036","C:\ShareSurferEnterpriseLab\Enterprise\Share0036","Enterprise-scale complex share 0036","False",""
"share-WINSERVER-SSEnt0037","Get-SmbShare","WINSERVER","SSEnt0037","\\WINSERVER\SSEnt0037","C:\ShareSurferEnterpriseLab\Enterprise\Share0037","Enterprise-scale complex share 0037","False",""
"share-WINSERVER-SSEnt0038","Get-SmbShare","WINSERVER","SSEnt0038","\\WINSERVER\SSEnt0038","C:\ShareSurferEnterpriseLab\Enterprise\Share0038","Enterprise-scale complex share 0038","False",""
"share-WINSERVER-SSEnt0039","Get-SmbShare","WINSERVER","SSEnt0039","\\WINSERVER\SSEnt0039","C:\ShareSurferEnterpriseLab\Enterprise\Share0039","Enterprise-scale complex share 0039","False",""
"share-WINSERVER-SSEnt0040","Get-SmbShare","WINSERVER","SSEnt0040","\\WINSERVER\SSEnt0040","C:\ShareSurferEnterpriseLab\Enterprise\Share0040","Enterprise-scale complex share 0040","False",""
"share-WINSERVER-SSEnt0041","Get-SmbShare","WINSERVER","SSEnt0041","\\WINSERVER\SSEnt0041","C:\ShareSurferEnterpriseLab\Enterprise\Share0041","Enterprise-scale complex share 0041","False",""
"share-WINSERVER-SSEnt0042","Get-SmbShare","WINSERVER","SSEnt0042","\\WINSERVER\SSEnt0042","C:\ShareSurferEnterpriseLab\Enterprise\Share0042","Enterprise-scale complex share 0042","False",""
"share-WINSERVER-SSEnt0043","Get-SmbShare","WINSERVER","SSEnt0043","\\WINSERVER\SSEnt0043","C:\ShareSurferEnterpriseLab\Enterprise\Share0043","Enterprise-scale complex share 0043","False",""
"share-WINSERVER-SSEnt0044","Get-SmbShare","WINSERVER","SSEnt0044","\\WINSERVER\SSEnt0044","C:\ShareSurferEnterpriseLab\Enterprise\Share0044","Enterprise-scale complex share 0044","False",""
"share-WINSERVER-SSEnt0045","Get-SmbShare","WINSERVER","SSEnt0045","\\WINSERVER\SSEnt0045","C:\ShareSurferEnterpriseLab\Enterprise\Share0045","Enterprise-scale complex share 0045","False",""
"share-WINSERVER-SSEnt0046","Get-SmbShare","WINSERVER","SSEnt0046","\\WINSERVER\SSEnt0046","C:\ShareSurferEnterpriseLab\Enterprise\Share0046","Enterprise-scale complex share 0046","False",""
"share-WINSERVER-SSEnt0047","Get-SmbShare","WINSERVER","SSEnt0047","\\WINSERVER\SSEnt0047","C:\ShareSurferEnterpriseLab\Enterprise\Share0047","Enterprise-scale complex share 0047","False",""
"share-WINSERVER-SSEnt0048","Get-SmbShare","WINSERVER","SSEnt0048","\\WINSERVER\SSEnt0048","C:\ShareSurferEnterpriseLab\Enterprise\Share0048","Enterprise-scale complex share 0048","False",""
"share-WINSERVER-SSEnt0049","Get-SmbShare","WINSERVER","SSEnt0049","\\WINSERVER\SSEnt0049","C:\ShareSurferEnterpriseLab\Enterprise\Share0049","Enterprise-scale complex share 0049","False",""
"share-WINSERVER-SSEnt0050","Get-SmbShare","WINSERVER","SSEnt0050","\\WINSERVER\SSEnt0050","C:\ShareSurferEnterpriseLab\Enterprise\Share0050","Enterprise-scale complex share 0050","False",""
"share-WINSERVER-SSEnt0051","Get-SmbShare","WINSERVER","SSEnt0051","\\WINSERVER\SSEnt0051","C:\ShareSurferEnterpriseLab\Enterprise\Share0051","Enterprise-scale complex share 0051","False",""
"share-WINSERVER-SSEnt0052","Get-SmbShare","WINSERVER","SSEnt0052","\\WINSERVER\SSEnt0052","C:\ShareSurferEnterpriseLab\Enterprise\Share0052","Enterprise-scale complex share 0052","False",""
"share-WINSERVER-SSEnt0053","Get-SmbShare","WINSERVER","SSEnt0053","\\WINSERVER\SSEnt0053","C:\ShareSurferEnterpriseLab\Enterprise\Share0053","Enterprise-scale complex share 0053","False",""
"share-WINSERVER-SSEnt0054","Get-SmbShare","WINSERVER","SSEnt0054","\\WINSERVER\SSEnt0054","C:\ShareSurferEnterpriseLab\Enterprise\Share0054","Enterprise-scale complex share 0054","False",""
"share-WINSERVER-SSEnt0055","Get-SmbShare","WINSERVER","SSEnt0055","\\WINSERVER\SSEnt0055","C:\ShareSurferEnterpriseLab\Enterprise\Share0055","Enterprise-scale complex share 0055","False",""
"share-WINSERVER-SSEnt0056","Get-SmbShare","WINSERVER","SSEnt0056","\\WINSERVER\SSEnt0056","C:\ShareSurferEnterpriseLab\Enterprise\Share0056","Enterprise-scale complex share 0056","False",""
"share-WINSERVER-SSEnt0057","Get-SmbShare","WINSERVER","SSEnt0057","\\WINSERVER\SSEnt0057","C:\ShareSurferEnterpriseLab\Enterprise\Share0057","Enterprise-scale complex share 0057","False",""
"share-WINSERVER-SSEnt0058","Get-SmbShare","WINSERVER","SSEnt0058","\\WINSERVER\SSEnt0058","C:\ShareSurferEnterpriseLab\Enterprise\Share0058","Enterprise-scale complex share 0058","False",""
"share-WINSERVER-SSEnt0059","Get-SmbShare","WINSERVER","SSEnt0059","\\WINSERVER\SSEnt0059","C:\ShareSurferEnterpriseLab\Enterprise\Share0059","Enterprise-scale complex share 0059","False",""
"share-WINSERVER-SSEnt0060","Get-SmbShare","WINSERVER","SSEnt0060","\\WINSERVER\SSEnt0060","C:\ShareSurferEnterpriseLab\Enterprise\Share0060","Enterprise-scale complex share 0060","False",""
"share-WINSERVER-SSEnt0061","Get-SmbShare","WINSERVER","SSEnt0061","\\WINSERVER\SSEnt0061","C:\ShareSurferEnterpriseLab\Enterprise\Share0061","Enterprise-scale complex share 0061","False",""
"share-WINSERVER-SSEnt0062","Get-SmbShare","WINSERVER","SSEnt0062","\\WINSERVER\SSEnt0062","C:\ShareSurferEnterpriseLab\Enterprise\Share0062","Enterprise-scale complex share 0062","False",""
"share-WINSERVER-SSEnt0063","Get-SmbShare","WINSERVER","SSEnt0063","\\WINSERVER\SSEnt0063","C:\ShareSurferEnterpriseLab\Enterprise\Share0063","Enterprise-scale complex share 0063","False",""
"share-WINSERVER-SSEnt0064","Get-SmbShare","WINSERVER","SSEnt0064","\\WINSERVER\SSEnt0064","C:\ShareSurferEnterpriseLab\Enterprise\Share0064","Enterprise-scale complex share 0064","False",""
"share-WINSERVER-SSEnt0065","Get-SmbShare","WINSERVER","SSEnt0065","\\WINSERVER\SSEnt0065","C:\ShareSurferEnterpriseLab\Enterprise\Share0065","Enterprise-scale complex share 0065","False",""
"share-WINSERVER-SSEnt0066","Get-SmbShare","WINSERVER","SSEnt0066","\\WINSERVER\SSEnt0066","C:\ShareSurferEnterpriseLab\Enterprise\Share0066","Enterprise-scale complex share 0066","False",""
"share-WINSERVER-SSEnt0067","Get-SmbShare","WINSERVER","SSEnt0067","\\WINSERVER\SSEnt0067","C:\ShareSurferEnterpriseLab\Enterprise\Share0067","Enterprise-scale complex share 0067","False",""
"share-WINSERVER-SSEnt0068","Get-SmbShare","WINSERVER","SSEnt0068","\\WINSERVER\SSEnt0068","C:\ShareSurferEnterpriseLab\Enterprise\Share0068","Enterprise-scale complex share 0068","False",""
"share-WINSERVER-SSEnt0069","Get-SmbShare","WINSERVER","SSEnt0069","\\WINSERVER\SSEnt0069","C:\ShareSurferEnterpriseLab\Enterprise\Share0069","Enterprise-scale complex share 0069","False",""
"share-WINSERVER-SSEnt0070","Get-SmbShare","WINSERVER","SSEnt0070","\\WINSERVER\SSEnt0070","C:\ShareSurferEnterpriseLab\Enterprise\Share0070","Enterprise-scale complex share 0070","False",""
"share-WINSERVER-SSEnt0071","Get-SmbShare","WINSERVER","SSEnt0071","\\WINSERVER\SSEnt0071","C:\ShareSurferEnterpriseLab\Enterprise\Share0071","Enterprise-scale complex share 0071","False",""
"share-WINSERVER-SSEnt0072","Get-SmbShare","WINSERVER","SSEnt0072","\\WINSERVER\SSEnt0072","C:\ShareSurferEnterpriseLab\Enterprise\Share0072","Enterprise-scale complex share 0072","False",""
"share-WINSERVER-SSEnt0073","Get-SmbShare","WINSERVER","SSEnt0073","\\WINSERVER\SSEnt0073","C:\ShareSurferEnterpriseLab\Enterprise\Share0073","Enterprise-scale complex share 0073","False",""
"share-WINSERVER-SSEnt0074","Get-SmbShare","WINSERVER","SSEnt0074","\\WINSERVER\SSEnt0074","C:\ShareSurferEnterpriseLab\Enterprise\Share0074","Enterprise-scale complex share 0074","False",""
"share-WINSERVER-SSEnt0075","Get-SmbShare","WINSERVER","SSEnt0075","\\WINSERVER\SSEnt0075","C:\ShareSurferEnterpriseLab\Enterprise\Share0075","Enterprise-scale complex share 0075","False",""
"share-WINSERVER-SSEnt0076","Get-SmbShare","WINSERVER","SSEnt0076","\\WINSERVER\SSEnt0076","C:\ShareSurferEnterpriseLab\Enterprise\Share0076","Enterprise-scale complex share 0076","False",""
"share-WINSERVER-SSEnt0077","Get-SmbShare","WINSERVER","SSEnt0077","\\WINSERVER\SSEnt0077","C:\ShareSurferEnterpriseLab\Enterprise\Share0077","Enterprise-scale complex share 0077","False",""
"share-WINSERVER-SSEnt0078","Get-SmbShare","WINSERVER","SSEnt0078","\\WINSERVER\SSEnt0078","C:\ShareSurferEnterpriseLab\Enterprise\Share0078","Enterprise-scale complex share 0078","False",""
"share-WINSERVER-SSEnt0079","Get-SmbShare","WINSERVER","SSEnt0079","\\WINSERVER\SSEnt0079","C:\ShareSurferEnterpriseLab\Enterprise\Share0079","Enterprise-scale complex share 0079","False",""
"share-WINSERVER-SSEnt0080","Get-SmbShare","WINSERVER","SSEnt0080","\\WINSERVER\SSEnt0080","C:\ShareSurferEnterpriseLab\Enterprise\Share0080","Enterprise-scale complex share 0080","False",""
"share-WINSERVER-SSEnt0081","Get-SmbShare","WINSERVER","SSEnt0081","\\WINSERVER\SSEnt0081","C:\ShareSurferEnterpriseLab\Enterprise\Share0081","Enterprise-scale complex share 0081","False",""
"share-WINSERVER-SSEnt0082","Get-SmbShare","WINSERVER","SSEnt0082","\\WINSERVER\SSEnt0082","C:\ShareSurferEnterpriseLab\Enterprise\Share0082","Enterprise-scale complex share 0082","False",""
"share-WINSERVER-SSEnt0083","Get-SmbShare","WINSERVER","SSEnt0083","\\WINSERVER\SSEnt0083","C:\ShareSurferEnterpriseLab\Enterprise\Share0083","Enterprise-scale complex share 0083","False",""
"share-WINSERVER-SSEnt0084","Get-SmbShare","WINSERVER","SSEnt0084","\\WINSERVER\SSEnt0084","C:\ShareSurferEnterpriseLab\Enterprise\Share0084","Enterprise-scale complex share 0084","False",""
"share-WINSERVER-SSEnt0085","Get-SmbShare","WINSERVER","SSEnt0085","\\WINSERVER\SSEnt0085","C:\ShareSurferEnterpriseLab\Enterprise\Share0085","Enterprise-scale complex share 0085","False",""
"share-WINSERVER-SSEnt0086","Get-SmbShare","WINSERVER","SSEnt0086","\\WINSERVER\SSEnt0086","C:\ShareSurferEnterpriseLab\Enterprise\Share0086","Enterprise-scale complex share 0086","False",""
"share-WINSERVER-SSEnt0087","Get-SmbShare","WINSERVER","SSEnt0087","\\WINSERVER\SSEnt0087","C:\ShareSurferEnterpriseLab\Enterprise\Share0087","Enterprise-scale complex share 0087","False",""
"share-WINSERVER-SSEnt0088","Get-SmbShare","WINSERVER","SSEnt0088","\\WINSERVER\SSEnt0088","C:\ShareSurferEnterpriseLab\Enterprise\Share0088","Enterprise-scale complex share 0088","False",""
"share-WINSERVER-SSEnt0089","Get-SmbShare","WINSERVER","SSEnt0089","\\WINSERVER\SSEnt0089","C:\ShareSurferEnterpriseLab\Enterprise\Share0089","Enterprise-scale complex share 0089","False",""
"share-WINSERVER-SSEnt0090","Get-SmbShare","WINSERVER","SSEnt0090","\\WINSERVER\SSEnt0090","C:\ShareSurferEnterpriseLab\Enterprise\Share0090","Enterprise-scale complex share 0090","False",""
"share-WINSERVER-SSEnt0091","Get-SmbShare","WINSERVER","SSEnt0091","\\WINSERVER\SSEnt0091","C:\ShareSurferEnterpriseLab\Enterprise\Share0091","Enterprise-scale complex share 0091","False",""
"share-WINSERVER-SSEnt0092","Get-SmbShare","WINSERVER","SSEnt0092","\\WINSERVER\SSEnt0092","C:\ShareSurferEnterpriseLab\Enterprise\Share0092","Enterprise-scale complex share 0092","False",""
"share-WINSERVER-SSEnt0093","Get-SmbShare","WINSERVER","SSEnt0093","\\WINSERVER\SSEnt0093","C:\ShareSurferEnterpriseLab\Enterprise\Share0093","Enterprise-scale complex share 0093","False",""
"share-WINSERVER-SSEnt0094","Get-SmbShare","WINSERVER","SSEnt0094","\\WINSERVER\SSEnt0094","C:\ShareSurferEnterpriseLab\Enterprise\Share0094","Enterprise-scale complex share 0094","False",""
"share-WINSERVER-SSEnt0095","Get-SmbShare","WINSERVER","SSEnt0095","\\WINSERVER\SSEnt0095","C:\ShareSurferEnterpriseLab\Enterprise\Share0095","Enterprise-scale complex share 0095","False",""
"share-WINSERVER-SSEnt0096","Get-SmbShare","WINSERVER","SSEnt0096","\\WINSERVER\SSEnt0096","C:\ShareSurferEnterpriseLab\Enterprise\Share0096","Enterprise-scale complex share 0096","False",""
"share-WINSERVER-SSEnt0097","Get-SmbShare","WINSERVER","SSEnt0097","\\WINSERVER\SSEnt0097","C:\ShareSurferEnterpriseLab\Enterprise\Share0097","Enterprise-scale complex share 0097","False",""
"share-WINSERVER-SSEnt0098","Get-SmbShare","WINSERVER","SSEnt0098","\\WINSERVER\SSEnt0098","C:\ShareSurferEnterpriseLab\Enterprise\Share0098","Enterprise-scale complex share 0098","False",""
"share-WINSERVER-SSEnt0099","Get-SmbShare","WINSERVER","SSEnt0099","\\WINSERVER\SSEnt0099","C:\ShareSurferEnterpriseLab\Enterprise\Share0099","Enterprise-scale complex share 0099","False",""
"share-WINSERVER-SSEnt0100","Get-SmbShare","WINSERVER","SSEnt0100","\\WINSERVER\SSEnt0100","C:\ShareSurferEnterpriseLab\Enterprise\Share0100","Enterprise-scale complex share 0100","False",""
"share-WINSERVER-SSEnt0101","Get-SmbShare","WINSERVER","SSEnt0101","\\WINSERVER\SSEnt0101","C:\ShareSurferEnterpriseLab\Enterprise\Share0101","Enterprise-scale complex share 0101","False",""
"share-WINSERVER-SSEnt0102","Get-SmbShare","WINSERVER","SSEnt0102","\\WINSERVER\SSEnt0102","C:\ShareSurferEnterpriseLab\Enterprise\Share0102","Enterprise-scale complex share 0102","False",""
"share-WINSERVER-SSEnt0103","Get-SmbShare","WINSERVER","SSEnt0103","\\WINSERVER\SSEnt0103","C:\ShareSurferEnterpriseLab\Enterprise\Share0103","Enterprise-scale complex share 0103","False",""
"share-WINSERVER-SSEnt0104","Get-SmbShare","WINSERVER","SSEnt0104","\\WINSERVER\SSEnt0104","C:\ShareSurferEnterpriseLab\Enterprise\Share0104","Enterprise-scale complex share 0104","False",""
"share-WINSERVER-SSEnt0105","Get-SmbShare","WINSERVER","SSEnt0105","\\WINSERVER\SSEnt0105","C:\ShareSurferEnterpriseLab\Enterprise\Share0105","Enterprise-scale complex share 0105","False",""
"share-WINSERVER-SSEnt0106","Get-SmbShare","WINSERVER","SSEnt0106","\\WINSERVER\SSEnt0106","C:\ShareSurferEnterpriseLab\Enterprise\Share0106","Enterprise-scale complex share 0106","False",""
"share-WINSERVER-SSEnt0107","Get-SmbShare","WINSERVER","SSEnt0107","\\WINSERVER\SSEnt0107","C:\ShareSurferEnterpriseLab\Enterprise\Share0107","Enterprise-scale complex share 0107","False",""
"share-WINSERVER-SSEnt0108","Get-SmbShare","WINSERVER","SSEnt0108","\\WINSERVER\SSEnt0108","C:\ShareSurferEnterpriseLab\Enterprise\Share0108","Enterprise-scale complex share 0108","False",""
"share-WINSERVER-SSEnt0109","Get-SmbShare","WINSERVER","SSEnt0109","\\WINSERVER\SSEnt0109","C:\ShareSurferEnterpriseLab\Enterprise\Share0109","Enterprise-scale complex share 0109","False",""
"share-WINSERVER-SSEnt0110","Get-SmbShare","WINSERVER","SSEnt0110","\\WINSERVER\SSEnt0110","C:\ShareSurferEnterpriseLab\Enterprise\Share0110","Enterprise-scale complex share 0110","False",""
"share-WINSERVER-SSEnt0111","Get-SmbShare","WINSERVER","SSEnt0111","\\WINSERVER\SSEnt0111","C:\ShareSurferEnterpriseLab\Enterprise\Share0111","Enterprise-scale complex share 0111","False",""
"share-WINSERVER-SSEnt0112","Get-SmbShare","WINSERVER","SSEnt0112","\\WINSERVER\SSEnt0112","C:\ShareSurferEnterpriseLab\Enterprise\Share0112","Enterprise-scale complex share 0112","False",""
"share-WINSERVER-SSEnt0113","Get-SmbShare","WINSERVER","SSEnt0113","\\WINSERVER\SSEnt0113","C:\ShareSurferEnterpriseLab\Enterprise\Share0113","Enterprise-scale complex share 0113","False",""
"share-WINSERVER-SSEnt0114","Get-SmbShare","WINSERVER","SSEnt0114","\\WINSERVER\SSEnt0114","C:\ShareSurferEnterpriseLab\Enterprise\Share0114","Enterprise-scale complex share 0114","False",""
"share-WINSERVER-SSEnt0115","Get-SmbShare","WINSERVER","SSEnt0115","\\WINSERVER\SSEnt0115","C:\ShareSurferEnterpriseLab\Enterprise\Share0115","Enterprise-scale complex share 0115","False",""
"share-WINSERVER-SSEnt0116","Get-SmbShare","WINSERVER","SSEnt0116","\\WINSERVER\SSEnt0116","C:\ShareSurferEnterpriseLab\Enterprise\Share0116","Enterprise-scale complex share 0116","False",""
"share-WINSERVER-SSEnt0117","Get-SmbShare","WINSERVER","SSEnt0117","\\WINSERVER\SSEnt0117","C:\ShareSurferEnterpriseLab\Enterprise\Share0117","Enterprise-scale complex share 0117","False",""
"share-WINSERVER-SSEnt0118","Get-SmbShare","WINSERVER","SSEnt0118","\\WINSERVER\SSEnt0118","C:\ShareSurferEnterpriseLab\Enterprise\Share0118","Enterprise-scale complex share 0118","False",""
"share-WINSERVER-SSEnt0119","Get-SmbShare","WINSERVER","SSEnt0119","\\WINSERVER\SSEnt0119","C:\ShareSurferEnterpriseLab\Enterprise\Share0119","Enterprise-scale complex share 0119","False",""
"share-WINSERVER-SSEnt0120","Get-SmbShare","WINSERVER","SSEnt0120","\\WINSERVER\SSEnt0120","C:\ShareSurferEnterpriseLab\Enterprise\Share0120","Enterprise-scale complex share 0120","False",""
"share-WINSERVER-SSEnt0121","Get-SmbShare","WINSERVER","SSEnt0121","\\WINSERVER\SSEnt0121","C:\ShareSurferEnterpriseLab\Enterprise\Share0121","Enterprise-scale complex share 0121","False",""
"share-WINSERVER-SSEnt0122","Get-SmbShare","WINSERVER","SSEnt0122","\\WINSERVER\SSEnt0122","C:\ShareSurferEnterpriseLab\Enterprise\Share0122","Enterprise-scale complex share 0122","False",""
"share-WINSERVER-SSEnt0123","Get-SmbShare","WINSERVER","SSEnt0123","\\WINSERVER\SSEnt0123","C:\ShareSurferEnterpriseLab\Enterprise\Share0123","Enterprise-scale complex share 0123","False",""
"share-WINSERVER-SSEnt0124","Get-SmbShare","WINSERVER","SSEnt0124","\\WINSERVER\SSEnt0124","C:\ShareSurferEnterpriseLab\Enterprise\Share0124","Enterprise-scale complex share 0124","False",""
"share-WINSERVER-SSEnt0125","Get-SmbShare","WINSERVER","SSEnt0125","\\WINSERVER\SSEnt0125","C:\ShareSurferEnterpriseLab\Enterprise\Share0125","Enterprise-scale complex share 0125","False",""
"share-WINSERVER-SSEnt0126","Get-SmbShare","WINSERVER","SSEnt0126","\\WINSERVER\SSEnt0126","C:\ShareSurferEnterpriseLab\Enterprise\Share0126","Enterprise-scale complex share 0126","False",""
